Time,SensorTimestamp,Value,Sensor
219,1.13734358E14,362194.0,MAX86915 RED
220,1.13734375E14,369391.0,MAX86915 IR
220,1.13734375E14,362203.0,MAX86915 RED
221,1.13734383E14,369469.0,MAX86915 IR
221,1.13734383E14,362201.0,MAX86915 RED
222,1.13734391E14,369536.0,MAX86915 IR
222,1.13734391E14,362221.0,MAX86915 RED
223,1.137344E14,369584.0,MAX86915 IR
223,1.137344E14,362208.0,MAX86915 RED
224,1.13734408E14,369610.0,MAX86915 IR
224,1.13734408E14,362197.0,MAX86915 RED
225,1.13734425E14,369664.0,MAX86915 IR
225,1.13734425E14,362134.0,MAX86915 RED
226,1.13734433E14,369658.0,MAX86915 IR
226,1.13734433E14,362131.0,MAX86915 RED
227,1.13734442E14,369690.0,MAX86915 IR
227,1.13734442E14,362130.0,MAX86915 RED
228,1.1373445E14,369732.0,MAX86915 IR
228,1.1373445E14,362157.0,MAX86915 RED
229,1.13734459E14,369768.0,MAX86915 IR
229,1.13734459E14,362158.0,MAX86915 RED
230,1.13734467E14,369804.0,MAX86915 IR
230,1.13734467E14,362136.0,MAX86915 RED
231,1.13734484E14,369740.0,MAX86915 IR
231,1.13734484E14,362119.0,MAX86915 RED
232,1.13734492E14,369727.0,MAX86915 IR
232,1.13734492E14,362086.0,MAX86915 RED
233,1.137345E14,369716.0,MAX86915 IR
233,1.137345E14,362133.0,MAX86915 RED
234,1.13734509E14,369669.0,MAX86915 IR
234,1.13734509E14,362088.0,MAX86915 RED
235,1.13734517E14,369633.0,MAX86915 IR
235,1.13734517E14,362077.0,MAX86915 RED
236,1.13734534E14,369605.0,MAX86915 IR
236,1.13734534E14,362080.0,MAX86915 RED
237,1.13734542E14,369583.0,MAX86915 IR
237,1.13734542E14,362042.0,MAX86915 RED
238,1.13734551E14,369584.0,MAX86915 IR
238,1.13734551E14,362002.0,MAX86915 RED
239,1.13734559E14,369550.0,MAX86915 IR
239,1.13734559E14,361969.0,MAX86915 RED
240,1.13734568E14,369530.0,MAX86915 IR
240,1.13734568E14,361954.0,MAX86915 RED
241,1.13734584E14,369461.0,MAX86915 IR
241,1.13734584E14,361906.0,MAX86915 RED
242,1.13734593E14,369450.0,MAX86915 IR
242,1.13734593E14,361921.0,MAX86915 RED
243,1.13734601E14,369427.0,MAX86915 IR
243,1.13734601E14,361937.0,MAX86915 RED
244,1.1373461E14,369440.0,MAX86915 IR
244,1.1373461E14,361900.0,MAX86915 RED
245,1.13734618E14,369387.0,MAX86915 IR
245,1.13734618E14,361921.0,MAX86915 RED
246,1.13734635E14,369359.0,MAX86915 IR
246,1.13734635E14,361862.0,MAX86915 RED
247,1.13734643E14,369343.0,MAX86915 IR
247,1.13734643E14,361851.0,MAX86915 RED
248,1.13734651E14,369361.0,MAX86915 IR
248,1.13734651E14,361902.0,MAX86915 RED
249,1.1373466E14,369371.0,MAX86915 IR
249,1.1373466E14,361888.0,MAX86915 RED
250,1.13734668E14,369386.0,MAX86915 IR
250,1.13734668E14,361909.0,MAX86915 RED
251,1.13734677E14,369403.0,MAX86915 IR
251,1.13734677E14,361869.0,MAX86915 RED
252,1.13734693E14,369401.0,MAX86915 IR
252,1.13734693E14,361888.0,MAX86915 RED
253,1.13734702E14,369450.0,MAX86915 IR
253,1.13734702E14,361890.0,MAX86915 RED
254,1.1373471E14,369500.0,MAX86915 IR
254,1.1373471E14,361971.0,MAX86915 RED
255,1.13734719E14,369531.0,MAX86915 IR
255,1.13734719E14,361910.0,MAX86915 RED
256,1.13734727E14,369542.0,MAX86915 IR
256,1.13734727E14,361943.0,MAX86915 RED
257,1.13734744E14,369575.0,MAX86915 IR
257,1.13734744E14,361941.0,MAX86915 RED
258,1.13734752E14,369570.0,MAX86915 IR
258,1.13734752E14,361942.0,MAX86915 RED
259,1.13734761E14,369572.0,MAX86915 IR
259,1.13734761E14,361892.0,MAX86915 RED
260,1.13734769E14,369610.0,MAX86915 IR
260,1.13734769E14,361882.0,MAX86915 RED
261,1.13734777E14,369625.0,MAX86915 IR
261,1.13734777E14,361893.0,MAX86915 RED
262,1.13734794E14,369644.0,MAX86915 IR
262,1.13734794E14,361847.0,MAX86915 RED
263,1.13734802E14,369641.0,MAX86915 IR
263,1.13734802E14,361871.0,MAX86915 RED
264,1.13734811E14,369637.0,MAX86915 IR
264,1.13734811E14,361895.0,MAX86915 RED
265,1.13734819E14,369672.0,MAX86915 IR
265,1.13734819E14,361857.0,MAX86915 RED
266,1.13734828E14,369653.0,MAX86915 IR
266,1.13734828E14,361897.0,MAX86915 RED
267,1.13734844E14,369682.0,MAX86915 IR
267,1.13734844E14,361864.0,MAX86915 RED
268,1.13734853E14,369702.0,MAX86915 IR
268,1.13734853E14,361881.0,MAX86915 RED
269,1.13734861E14,369732.0,MAX86915 IR
269,1.13734861E14,361964.0,MAX86915 RED
270,1.1373487E14,369721.0,MAX86915 IR
270,1.1373487E14,361866.0,MAX86915 RED
271,1.13734878E14,369749.0,MAX86915 IR
271,1.13734878E14,361879.0,MAX86915 RED
272,1.13734895E14,369768.0,MAX86915 IR
272,1.13734895E14,361892.0,MAX86915 RED
273,1.13734903E14,369807.0,MAX86915 IR
273,1.13734903E14,361885.0,MAX86915 RED
274,1.13734912E14,369831.0,MAX86915 IR
274,1.13734912E14,361930.0,MAX86915 RED
275,1.1373492E14,369830.0,MAX86915 IR
275,1.1373492E14,361895.0,MAX86915 RED
276,1.13734928E14,369814.0,MAX86915 IR
276,1.13734928E14,361865.0,MAX86915 RED
277,1.13734937E14,369836.0,MAX86915 IR
277,1.13734937E14,361856.0,MAX86915 RED
278,1.13734953E14,369821.0,MAX86915 IR
278,1.13734953E14,361843.0,MAX86915 RED
279,1.13734962E14,369875.0,MAX86915 IR
279,1.13734962E14,361846.0,MAX86915 RED
280,1.1373497E14,369879.0,MAX86915 IR
280,1.1373497E14,361901.0,MAX86915 RED
281,1.13734979E14,369888.0,MAX86915 IR
281,1.13734979E14,361899.0,MAX86915 RED
282,1.13734987E14,369923.0,MAX86915 IR
282,1.13734987E14,361931.0,MAX86915 RED
283,1.13735004E14,369923.0,MAX86915 IR
283,1.13735004E14,361906.0,MAX86915 RED
284,1.13735012E14,369952.0,MAX86915 IR
284,1.13735012E14,361925.0,MAX86915 RED
285,1.13735021E14,369985.0,MAX86915 IR
285,1.13735021E14,361939.0,MAX86915 RED
286,1.13735029E14,369980.0,MAX86915 IR
286,1.13735029E14,361929.0,MAX86915 RED
287,1.13735037E14,369961.0,MAX86915 IR
287,1.13735037E14,361927.0,MAX86915 RED
288,1.13735054E14,369956.0,MAX86915 IR
288,1.13735054E14,361895.0,MAX86915 RED
289,1.13735063E14,369941.0,MAX86915 IR
289,1.13735063E14,361944.0,MAX86915 RED
290,1.13735071E14,369978.0,MAX86915 IR
290,1.13735071E14,361913.0,MAX86915 RED
291,1.13735079E14,369991.0,MAX86915 IR
291,1.13735079E14,361943.0,MAX86915 RED
292,1.13735088E14,370005.0,MAX86915 IR
292,1.13735088E14,361928.0,MAX86915 RED
293,1.13735104E14,370001.0,MAX86915 IR
293,1.13735104E14,361905.0,MAX86915 RED
294,1.13735113E14,369994.0,MAX86915 IR
